transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
GCS18,195,97,7,GC18,Barbara,0,0,58,4,660490,660490,6202433,6202459,edge,O,5,2.705882353,0,18,6,NE,NA,22.85,23,2310,8786,21030,37239,56179,83184,110764,144114,200870,237625,441798,1031900,15149,34523,63991,108799,157208,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,263,406,417,788,1531,15700,27935,110119,12.5
G2H1,196,98,6,G21,Steve,9,3,3,5,655417,655438,6191559,6191556,edge,O,12.5,3.403614458,0,21,3,NNE,99,22.78,23,35,468,779,1296,3047,NA,NA,NA,NA,42100,103300,218200,14818,45778,92441,154849,229681,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,645,2055,6481,4.5
G2S1,197,98,6,G21,Barbara,12,6,4,5,655417,655438,6191036,6191556,edge,I,7.75,3.403614458,0,21,3,NNE,99,78.61,79,204,392,2290,3206,3611,NA,NA,NA,NA,26020,87696,236900,29611,93447,168617,228396,283579,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,2,1919,7776,4.5
G2H2,198,99,6,G22,Steve,2,2,13,5,655537,655558,6191421,6191420,150,I,6.75,3.701807229,0,21,3,NNE,100,154.21,154,51,286,674,2646,5634,NA,NA,NA,NA,34199,93906,215300,31415,113607,189785,270264,317923,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,322,1956,5555,4.5
G2H3,199,100,6,G23,Steve,3,10,5,5,655561,655582,6191506,6191501,edge,I,5.75,4,0,22,2.5,N,100,68.34,68,0,293,668,888,7099,NA,NA,NA,NA,42568,95437,214500,28221,86542,153806,235242,305279,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1984,5545,3.5
G2H4,200,101,6,G24,Steve,1,1,33,5,655740,655743,6191409,6191384,150,O,2.75,3.25,0,21,2,N,100,144.9,145,0,17,1310,5450,11033,NA,NA,NA,NA,32041,97010,194400,31415,115220,217636,307148,335195,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1231,4407,2.5
G2H5,201,102,6,G25,Steve,0,0,3,5,655766,655782,6191503,6191491,edge,O,0.75,2.25,0,23,2.5,N,100,40.92,41,0,44,2510,6563,10010,NA,NA,NA,NA,38398,99976,195400,23657,79073,157203,242406,314346,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,639,1894,4372,3.5
G2H6,202,103,6,G26,Steve,4,1,9,5,655929,655925,6191478,6191457,edge,I,1.75,2,0,23,2,N,95,43.5,44,475,2740,4615,7174,11500,NA,NA,NA,NA,38698,108353,187400,22596,61418,115695,187341,273312,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,640,1738,3894,2.5
G2H7,203,104,6,G27,Steve,2,2,5,5,655988,655984,6191354,6191327,edge,O,4.25,2.25,0,22,2.5,N,100,18.93,19,865,2876,5424,8063,10341,NA,NA,NA,NA,38307,105111,185700,19255,65103,127444,201056,258579,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,323,1367,4891,3.5
G2H8,204,105,6,G28,Steve,0,2,22,5,655938,655934,6191242,6191222,edge,I,4.75,2.75,0,23,3,N,100,54.16,54,967,2869,5810,7701,10577,NA,NA,NA,NA,34914,97606,187400,26014,87081,166730,225263,280302,337279,337279,33.7272,2912,226.3279,86.3398,1.253,1.0355,0.511,0.9974,0,0,0,0,0,3,1159,4786,4.5
